web_scraper_order,web_scraper_start_url,prix,region,titre_vehicule,kilometrage,car_link,car_link-href,boite_vitesse,annee
"1785857757-201","https://www.gaaraas.com/fr/users/dakar-auto?page=51","","","Souscrire à notre newsletter","","","","",""
"1785857757-202","https://www.gaaraas.com/fr/users/dakar-auto?page=51","","","","","","","",""
"1785857762-203","https://www.gaaraas.com/fr/users/dakar-auto?page=50","","","","","","","",""
"1785857762-204","https://www.gaaraas.com/fr/users/dakar-auto?page=50","","","Il n'y a pas d'annonce","","","","",""
"1785857762-205","https://www.gaaraas.com/fr/users/dakar-auto?page=50","","","Souscrire à notre newsletter","","","","",""
"1785857762-206","https://www.gaaraas.com/fr/users/dakar-auto?page=50","","","","","","","",""
"1785857766-207","https://www.gaaraas.com/fr/users/dakar-auto?page=49","","","","","","","",""
"1785857766-208","https://www.gaaraas.com/fr/users/dakar-auto?page=49","","","Il n'y a pas d'annonce","","","","",""
"1785857766-209","https://www.gaaraas.com/fr/users/dakar-auto?page=49","","","Souscrire à notre newsletter","","","","",""
"1785857766-210","https://www.gaaraas.com/fr/users/dakar-auto?page=49","","","","","","","",""
"1785857771-211","https://www.gaaraas.com/fr/users/dakar-auto?page=48","","","","","","","",""
"1785857771-212","https://www.gaaraas.com/fr/users/dakar-auto?page=48","","","Il n'y a pas d'annonce","","","","",""
"1785857771-213","https://www.gaaraas.com/fr/users/dakar-auto?page=48","","","Souscrire à notre newsletter","","","","",""
"1785857771-214","https://www.gaaraas.com/fr/users/dakar-auto?page=48","","","","","","","",""
"1785857775-215","https://www.gaaraas.com/fr/users/dakar-auto?page=47","","","","","","","",""
"1785857775-216","https://www.gaaraas.com/fr/users/dakar-auto?page=47","","","Il n'y a pas d'annonce","","","","",""
"1785857775-217","https://www.gaaraas.com/fr/users/dakar-auto?page=47","","","Souscrire à notre newsletter","","","","",""
"1785857775-218","https://www.gaaraas.com/fr/users/dakar-auto?page=47","","","","","","","",""
"1785857780-219","https://www.gaaraas.com/fr/users/dakar-auto?page=46","","","","","","","",""
"1785857780-220","https://www.gaaraas.com/fr/users/dakar-auto?page=46","","","Il n'y a pas d'annonce","","","","",""
"1785857780-221","https://www.gaaraas.com/fr/users/dakar-auto?page=46","","","Souscrire à notre newsletter","","","","",""
"1785857780-222","https://www.gaaraas.com/fr/users/dakar-auto?page=46","","","","","","","",""
"1785857784-223","https://www.gaaraas.com/fr/users/dakar-auto?page=45","","","","","","","",""
"1785857784-224","https://www.gaaraas.com/fr/users/dakar-auto?page=45","","","Il n'y a pas d'annonce","","","","",""
"1785857784-225","https://www.gaaraas.com/fr/users/dakar-auto?page=45","","","Souscrire à notre newsletter","","","","",""
